User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM16,Hearing,NN,0.98851,0.88889,1,0.94118
DM19,About,DT,0.97436,0.875,0.875,0.875
DM19,About,SVM,1,1,1,1
DM19,About,NN,1,1,1,1
DM19,And,DT,0.91026,0.6,0.66667,0.63158
DM19,And,SVM,0.92308,0.8,0.44444,0.57143
DM19,And,NN,0.91026,0.6,0.66667,0.63158
DM19,Can,DT,0.88462,0.42857,0.375,0.4
DM19,Can,SVM,0.91026,0.66667,0.25,0.36364
DM19,Can,NN,0.92308,0.75,0.375,0.5
DM19,Cop,DT,0.85897,0.33333,0.375,0.35294
DM19,Cop,SVM,0.92308,0.75,0.375,0.5
DM19,Cop,NN,0.88462,0.44444,0.5,0.47059
DM19,Deaf,DT,0.91026,0.57143,0.5,0.53333
DM19,Deaf,SVM,0.97436,0.875,0.875,0.875
DM19,Deaf,NN,0.96154,0.72727,1,0.84211
DM19,Decide,DT,0.96154,0.72727,1,0.84211
DM19,Decide,SVM,0.98718,1,0.875,0.93333
DM19,Decide,NN,0.91026,0.53333,1,0.69565
DM19,Father,DT,0.9359,0.8,0.5,0.61538
DM19,Father,SVM,0.97436,1,0.75,0.85714
DM19,Father,NN,0.94872,0.75,0.75,0.75
DM19,Find,DT,0.88462,0.36364,0.66667,0.47059
DM19,Find,SVM,0.97436,1,0.66667,0.8
DM19,Find,NN,1,1,1,1
DM19,GoOut,DT,0.98718,1,0.85714,0.92308
DM19,GoOut,SVM,1,1,1,1
DM19,GoOut,NN,1,1,1,1
DM19,Hearing,DT,0.9359,0.71429,0.625,0.66667
DM19,Hearing,SVM,0.94872,1,0.5,0.66667
DM19,Hearing,NN,0.96154,1,0.625,0.76923
DM20,About,DT,0.96296,0.77778,0.875,0.82353
DM20,About,SVM,0.95062,0.75,0.75,0.75
DM20,About,NN,0.87654,0.42857,0.75,0.54545
DM20,And,DT,0.98765,1,0.875,0.93333
DM20,And,SVM,0.97531,1,0.75,0.85714
DM20,And,NN,0.97531,1,0.75,0.85714
DM20,Can,DT,1,1,1,1
DM20,Can,SVM,1,1,1,1
DM20,Can,NN,1,1,1,1
DM20,Cop,DT,0.90123,0.5,0.375,0.42857
DM20,Cop,SVM,0.98765,0.88889,1,0.94118
DM20,Cop,NN,0.98765,0.88889,1,0.94118
DM20,Deaf,DT,0.92593,0.66667,0.5,0.57143
DM20,Deaf,SVM,0.96296,0.85714,0.75,0.8
DM20,Deaf,NN,0.90123,0.5,0.75,0.6
DM20,Decide,DT,0.93827,0.64286,1,0.78261
DM20,Decide,SVM,0.98765,0.9,1,0.94737
DM20,Decide,NN,0.98765,0.9,1,0.94737
DM20,Father,DT,0.92593,0.75,0.375,0.5
DM20,Father,SVM,0.98765,1,0.875,0.93333
DM20,Father,NN,0.92593,0.75,0.375,0.5
DM20,Find,DT,0.95062,1,0.5,0.66667
DM20,Find,SVM,0.93827,1,0.375,0.54545
DM20,Find,NN,0.93827,1,0.375,0.54545
DM20,GoOut,DT,0.87654,0.25,0.125,0.16667
DM20,GoOut,SVM,0.88889,0,0,0
DM20,GoOut,NN,0.91358,1,0.125,0.22222
DM20,Hearing,DT,0.93827,0.66667,0.75,0.70588
