-2,-1,1,-9,8,10,0,22,46,22,8,1,4,39,4,-11,7,21,31,22,20,-39,-40,-1,16,7,-23,-21,-27,10,25,10,21,3,-2,11,-3,-1,-7,0,0,-2,-2,-1,-1
44.188,-5.125,-20.563,-17.625,18.938,10.25,80.25,49.688,19.188,18.438,3.25,-0.8125,-2.3125,4.25,-0.5625,-0.375,-12.313,-29.75,3.75,-21.25,-18.5,-5,2.8125,8.1875,-4.625,-4.125,0.1875,-11.563,-9.6875,-5.0625,0.3125,4.0625,-6.1875,-8.5,-1.3125,-12.313,-28.938,-26.188,-21.25,-5.8125,-25.438,-43.063,3.5625,7.1875,-5.5
44.188,-5.125,-20.563,-17.625,18.938,10.25,80.25,49.688,19.188,18.438,3.25,-0.8125,-2.3125,4.25,-0.5625,-0.375,-12.313,-29.75,3.75,-21.25,-18.5,-5,2.8125,8.1875,-4.625,-4.125,0.1875,-11.563,-9.6875,-5.0625,0.3125,4.0625,-6.1875,-8.5,-1.3125,-12.313,-28.938,-26.188,-21.25,-5.8125,-25.438,-43.063,3.5625,7.1875,-5.5
44.188,-5.125,-20.563,-17.625,18.938,10.25,80.25,49.688,19.188,18.438,3.25,-0.8125,-2.3125,4.25,-0.5625,-0.375,-12.313,-29.75,3.75,-21.25,-18.5,-5,2.8125,8.1875,-4.625,-4.125,0.1875,-11.563,-9.6875,-5.0625,0.3125,4.0625,-6.1875,-8.5,-1.3125,-12.313,-28.938,-26.188,-21.25,-5.8125,-25.438,-43.063,3.5625,7.1875,-5.5
12.25,-1.8125,-8.0625,0.1875,-7.75,-43.938,-27.625,1.3125,-10.5,1.6875,7.375,13.938,5.5,3.125,5.25,4.1875,16.188,-19.375,-0.625,-27.563,-6.4375,14.125,-2.875,1.875,4.875,0.875,-0.5,-2.25,1.125,-0.4375,-1.125,-16.313,-1.9375,0.9375,14.063,28.188,22.313,18,39.188,38.75,2.4375,13.313,-8.375,-1.25,2.125
12.25,-1.8125,-8.0625,0.1875,-7.75,-43.938,-27.625,1.3125,-10.5,1.6875,7.375,13.938,5.5,3.125,5.25,4.1875,16.188,-19.375,-0.625,-27.563,-6.4375,14.125,-2.875,1.875,4.875,0.875,-0.5,-2.25,1.125,-0.4375,-1.125,-16.313,-1.9375,0.9375,14.063,28.188,22.313,18,39.188,38.75,2.4375,13.313,-8.375,-1.25,2.125
12.25,-1.8125,-8.0625,0.1875,-7.75,-43.938,-27.625,1.3125,-10.5,1.6875,7.375,13.938,5.5,3.125,5.25,4.1875,16.188,-19.375,-0.625,-27.563,-6.4375,14.125,-2.875,1.875,4.875,0.875,-0.5,-2.25,1.125,-0.4375,-1.125,-16.313,-1.9375,0.9375,14.063,28.188,22.313,18,39.188,38.75,2.4375,13.313,-8.375,-1.25,2.125
3.3459,3.3373,3.3292,3.2902,3.3079,3.2998,3.3523,3.4098,3.4244,3.4379,3.4525,3.4645,3.4643,3.4638,3.4582,3.4559,3.4398,3.4112,3.3886,3.4138,3.4436,3.432,3.412,3.3998,3.3834,3.3806,3.3814,3.3619,3.3469,3.3515,3.3605,3.3631,3.3605,3.349,3.3509,3.3483,3.3275,3.3122,3.3027,3.2914,3.1836,3.1857,3.1692,3.1731,3.1743
3.2435,3.2602,3.2636,3.2632,3.2682,3.279,3.3136,3.422,3.587,3.7896,3.8712,3.9155,3.9538,3.9651,3.9811,3.9998,4.007,3.9707,3.8739,3.7578,3.6293,3.5691,3.5313,3.5319,3.5488,3.5479,3.5479,3.5463,3.5462,3.5443,3.545,3.5437,3.545,3.5545,3.5505,3.5247,3.4653,3.3729,3.2954,3.2355,3.2263,3.2148,3.2056,3.2092,3.2091
4.6979,4.7008,4.6912,4.6799,4.6815,4.7134,4.7738,4.8533,4.8992,4.9246,4.9305,4.9251,4.918,4.9204,4.9171,4.9184,4.9154,4.9139,4.8369,4.739,4.7386,4.7435,4.7799,4.8025,4.8286,4.8261,4.8265,4.8247,4.832,4.8303,4.8218,4.8232,4.8193,4.8157,4.814,4.8056,4.7852,4.7577,4.7176,4.7126,4.7659,4.6981,4.7236,4.7301,4.7243
