User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM29,Deaf,NN,0.91892,NaN,0,NaN
DM29,Decide,DT,0.78378,0,0,NaN
DM29,Decide,SVM,0.89189,NaN,0,NaN
DM29,Decide,NN,0.89189,NaN,0,NaN
DM29,Father,DT,0.77027,0.083333,0.14286,0.10526
DM29,Father,SVM,0.90541,NaN,0,NaN
DM29,Father,NN,0.90541,NaN,0,NaN
DM29,Find,DT,0.83784,0.16667,0.125,0.14286
DM29,Find,SVM,0.89189,NaN,0,NaN
DM29,Find,NN,0.5,0.032258,0.125,0.051282
DM29,GoOut,DT,0.78378,0,0,NaN
DM29,GoOut,SVM,0.89189,NaN,0,NaN
DM29,GoOut,NN,0.83784,0,0,NaN
DM29,Hearing,DT,0.81081,0,0,NaN
DM29,Hearing,SVM,0.90541,NaN,0,NaN
DM29,Hearing,NN,0.83784,0,0,NaN
DM31,About,DT,0.75,0.090909,0.14286,0.11111
DM31,About,SVM,0.89063,NaN,0,NaN
DM31,About,NN,0.85938,0,0,NaN
DM31,And,DT,0.79688,0,0,NaN
DM31,And,SVM,0.89063,NaN,0,NaN
DM31,And,NN,0.85938,0,0,NaN
DM31,Can,DT,0.82813,0.22222,0.33333,0.26667
DM31,Can,SVM,0.90625,NaN,0,NaN
DM31,Can,NN,0.73438,0.13333,0.33333,0.19048
DM31,Cop,DT,0.90625,NaN,0,NaN
DM31,Cop,SVM,0.90625,NaN,0,NaN
DM31,Cop,NN,0.8125,0,0,NaN
DM31,Deaf,DT,0.82813,0,0,NaN
DM31,Deaf,SVM,0.89063,NaN,0,NaN
DM31,Deaf,NN,0.875,0,0,NaN
DM31,Decide,DT,0.70313,0.13333,0.25,0.17391
DM31,Decide,SVM,0.875,NaN,0,NaN
DM31,Decide,NN,0.78125,0,0,NaN
DM31,Father,DT,0.8125,0.11111,0.2,0.14286
DM31,Father,SVM,0.92188,NaN,0,NaN
DM31,Father,NN,0.90625,0,0,NaN
DM31,Find,DT,0.71875,0,0,NaN
DM31,Find,SVM,0.90625,NaN,0,NaN
DM31,Find,NN,0.90625,NaN,0,NaN
DM31,GoOut,DT,0.84375,0,0,NaN
DM31,GoOut,SVM,0.9375,NaN,0,NaN
DM31,GoOut,NN,0.92188,0,0,NaN
DM31,Hearing,DT,0.79688,0,0,NaN
DM31,Hearing,SVM,0.875,NaN,0,NaN
DM31,Hearing,NN,0.85938,0,0,NaN
DM34,About,DT,0.87838,0.25,0.14286,0.18182
DM34,About,SVM,0.90541,NaN,0,NaN
DM34,About,NN,0.90541,NaN,0,NaN
DM34,And,DT,0.83784,0,0,NaN
DM34,And,SVM,0.89189,NaN,0,NaN
DM34,And,NN,0.87838,0,0,NaN
DM34,Can,DT,0.86486,0.28571,0.28571,0.28571
DM34,Can,SVM,0.90541,NaN,0,NaN
DM34,Can,NN,0.89189,0,0,NaN
DM34,Cop,DT,0.86486,0,0,NaN
DM34,Cop,SVM,0.90541,NaN,0,NaN
DM34,Cop,NN,0.90541,NaN,0,NaN
DM34,Deaf,DT,0.87838,0,0,NaN
DM34,Deaf,SVM,0.90541,NaN,0,NaN
DM34,Deaf,NN,0.90541,NaN,0,NaN
DM34,Decide,DT,0.87838,0,0,NaN
DM34,Decide,SVM,0.89189,NaN,0,NaN
DM34,Decide,NN,0.89189,NaN,0,NaN
DM34,Father,DT,0.75676,0.083333,0.125,0.1
DM34,Father,SVM,0.89189,NaN,0,NaN
DM34,Father,NN,0.89189,NaN,0,NaN
DM34,Find,DT,0.77027,0.090909,0.125,0.10526
DM34,Find,SVM,0.89189,NaN,0,NaN
DM34,Find,NN,0.77027,0.090909,0.125,0.10526
DM34,GoOut,DT,0.82432,0,0,NaN
DM34,GoOut,SVM,0.90541,NaN,0,NaN
DM34,GoOut,NN,0.85135,0,0,NaN
DM34,Hearing,DT,0.86486,0.2,0.14286,0.16667
DM34,Hearing,SVM,0.90541,NaN,0,NaN
DM34,Hearing,NN,0.90541,NaN,0,NaN
